GWH ID	Wu ID	IHSM SDB ID
GWHTABKE000153	Yangtao2018600	Aveca01vR1g01530.1
GWHTABKE000154	Yangtao2018599	Aveca01vR1g01540.1
GWHTABKE000155	Yangtao2018598	Aveca01vR1g01550.1
GWHTABKE000156	Yangtao2018597	Aveca01vR1g01560.1
GWHTABKE000157	Yangtao2018596	Aveca01vR1g01570.1
GWHTABKE000158	Yangtao2018595	Aveca01vR1g01580.1
GWHTABKE000159	Yangtao2018594	Aveca01vR1g01590.1
GWHTABKE000160	Yangtao2018593	Aveca01vR1g01600.1
GWHTABKE000161	Yangtao2018592	Aveca01vR1g01610.1
GWHTABKE000162	Yangtao2018591	Aveca01vR1g01620.1
GWHTABKE000163	Yangtao2018590	Aveca01vR1g01630.1
GWHTABKE000164	Yangtao2018589	Aveca01vR1g01640.1
GWHTABKE000165	Yangtao2018588	Aveca01vR1g01650.1
GWHTABKE000166	Yangtao2018587	Aveca01vR1g01660.1
GWHTABKE000167	Yangtao2018586	Aveca01vR1g01670.1
GWHTABKE000168	Yangtao2018585	Aveca01vR1g01680.1
GWHTABKE000169	Yangtao2018584	Aveca01vR1g01690.1
GWHTABKE000170	Yangtao2018583	Aveca01vR1g01700.1
GWHTABKE000171	Yangtao2018582	Aveca01vR1g01710.1
GWHTABKE000172	Yangtao2018581	Aveca01vR1g01720.1
GWHTABKE000173	Yangtao2018580	Aveca01vR1g01730.1
GWHTABKE000174	Yangtao2018579	Aveca01vR1g01740.1
GWHTABKE000175	Yangtao2018578	Aveca01vR1g01750.1
GWHTABKE000176	Yangtao2018577	Aveca01vR1g01760.1
GWHTABKE000177	Yangtao2018576	Aveca01vR1g01770.1
GWHTABKE000178	Yangtao2018575	Aveca01vR1g01780.1
GWHTABKE000179	Yangtao2018574	Aveca01vR1g01790.1
GWHTABKE000180	Yangtao2018573	Aveca01vR1g01800.1
GWHTABKE000181	Yangtao2018572	Aveca01vR1g01810.1
GWHTABKE000182	Yangtao2018571	Aveca01vR1g01820.1
GWHTABKE000183	Yangtao2018570	Aveca01vR1g01830.1
GWHTABKE000184	Yangtao2018569	Aveca01vR1g01840.1
GWHTABKE000185	Yangtao2018568	Aveca01vR1g01850.1
GWHTABKE000186	Yangtao2018567	Aveca01vR1g01860.1
GWHTABKE000187	Yangtao2018566	Aveca01vR1g01870.1
GWHTABKE000188	Yangtao2018565	Aveca01vR1g01880.1
GWHTABKE000189	Yangtao2018564	Aveca01vR1g01890.1
GWHTABKE000190	Yangtao2018563	Aveca01vR1g01900.1
GWHTABKE000191	Yangtao2018562	Aveca01vR1g01910.1
GWHTABKE000192	Yangtao2018561	Aveca01vR1g01920.1
GWHTABKE000193	Yangtao2018560	Aveca01vR1g01930.1
GWHTABKE000194	Yangtao2018559	Aveca01vR1g01940.1
GWHTABKE000195	Yangtao2018558	Aveca01vR1g01950.1
GWHTABKE000196	Yangtao2018557	Aveca01vR1g01960.1
GWHTABKE000197	Yangtao2018556	Aveca01vR1g01970.1
GWHTABKE000198	Yangtao2018555	Aveca01vR1g01980.1
GWHTABKE000199	Yangtao2018554	Aveca01vR1g01990.1
GWHTABKE000200	Yangtao2018553	Aveca01vR1g02000.1
GWHTABKE000201	Yangtao2018552	Aveca01vR1g02010.1
GWHTABKE000202	Yangtao2018551	Aveca01vR1g02020.1
GWHTABKE000203	Yangtao2018550	Aveca01vR1g02030.1
GWHTABKE000204	Yangtao2018549	Aveca01vR1g02040.1
GWHTABKE000205	Yangtao2018548	Aveca01vR1g02050.1
GWHTABKE000206	Yangtao2018547	Aveca01vR1g02060.1
GWHTABKE000207	Yangtao2018546	Aveca01vR1g02070.1
GWHTABKE000208	Yangtao2018545	Aveca01vR1g02080.1
GWHTABKE000209	Yangtao2018544	Aveca01vR1g02090.1
GWHTABKE000210	Yangtao2018543	Aveca01vR1g02100.1
GWHTABKE000211	Yangtao2018542	Aveca01vR1g02110.1
GWHTABKE000212	Yangtao2018541	Aveca01vR1g02120.1
GWHTABKE000213	Yangtao2018540	Aveca01vR1g02130.1
GWHTABKE000214	Yangtao2018539	Aveca01vR1g02140.1
GWHTABKE000215	Yangtao2018538	Aveca01vR1g02150.1
GWHTABKE000216	Yangtao2018537	Aveca01vR1g02160.1
GWHTABKE000217	Yangtao2018536	Aveca01vR1g02170.1
GWHTABKE000218	Yangtao2018535	Aveca01vR1g02180.1
GWHTABKE000219	Yangtao2018534	Aveca01vR1g02190.1
GWHTABKE000220	Yangtao2018533	Aveca01vR1g02200.1
GWHTABKE000221	Yangtao2018532	Aveca01vR1g02210.1
GWHTABKE000222	Yangtao2018531	Aveca01vR1g02220.1
GWHTABKE000223	Yangtao2018530	Aveca01vR1g02230.1
GWHTABKE000224	Yangtao2018529	Aveca01vR1g02240.1
GWHTABKE000225	Yangtao2018528	Aveca01vR1g02250.1
GWHTABKE000226	Yangtao2018527	Aveca01vR1g02260.1
GWHTABKE000227	Yangtao2018526	Aveca01vR1g02270.1
GWHTABKE000228	Yangtao2018525	Aveca01vR1g02280.1
GWHTABKE000229	Yangtao2018524	Aveca01vR1g02290.1
GWHTABKE000230	Yangtao2018523	Aveca01vR1g02300.1
GWHTABKE000231	Yangtao2018522	Aveca01vR1g02310.1
GWHTABKE000232	Yangtao2018521	Aveca01vR1g02320.1
GWHTABKE000233	Yangtao2018520	Aveca01vR1g02330.1
GWHTABKE000234	Yangtao2018519	Aveca01vR1g02340.1
GWHTABKE000235	Yangtao2018518	Aveca01vR1g02350.1
GWHTABKE000236	Yangtao2018517	Aveca01vR1g02360.1
GWHTABKE000237	Yangtao2018516	Aveca01vR1g02370.1
GWHTABKE000238	Yangtao2018515	Aveca01vR1g02380.1
GWHTABKE000239	Yangtao2018514	Aveca01vR1g02390.1
GWHTABKE000240	Yangtao2018513	Aveca01vR1g02400.1
GWHTABKE000241	Yangtao2018512	Aveca01vR1g02410.1
GWHTABKE000242	Yangtao2018511	Aveca01vR1g02420.1
GWHTABKE000243	Yangtao2018510	Aveca01vR1g02430.1
GWHTABKE000244	Yangtao2018509	Aveca01vR1g02440.1
GWHTABKE000245	Yangtao2018508	Aveca01vR1g02450.1
GWHTABKE000246	Yangtao2018507	Aveca01vR1g02460.1
GWHTABKE000247	Yangtao2018506	Aveca01vR1g02470.1
GWHTABKE000248	Yangtao2018505	Aveca01vR1g02480.1
GWHTABKE000249	Yangtao2018504	Aveca01vR1g02490.1
GWHTABKE000250	Yangtao2018503	Aveca01vR1g02500.1
GWHTABKE000251	Yangtao2018502	Aveca01vR1g02510.1
GWHTABKE000252	Yangtao2018501	Aveca01vR1g02520.1
GWHTABKE000253	Yangtao2018500	Aveca01vR1g02530.1
GWHTABKE000254	Yangtao2018499	Aveca01vR1g02540.1
GWHTABKE000255	Yangtao2018498	Aveca01vR1g02550.1
GWHTABKE000256	Yangtao2018497	Aveca01vR1g02560.1
GWHTABKE000257	Yangtao2018496	Aveca01vR1g02570.1
GWHTABKE000258	Yangtao2018495	Aveca01vR1g02580.1
GWHTABKE000259	Yangtao2018494	Aveca01vR1g02590.1
GWHTABKE000260	Yangtao2018493	Aveca01vR1g02600.1
GWHTABKE000261	Yangtao2018492	Aveca01vR1g02610.1
GWHTABKE000262	Yangtao2018491	Aveca01vR1g02620.1
GWHTABKE000263	Yangtao2018490	Aveca01vR1g02630.1
GWHTABKE000264	Yangtao2018489	Aveca01vR1g02640.1
GWHTABKE000265	Yangtao2018488	Aveca01vR1g02650.1
GWHTABKE000266	Yangtao2018487	Aveca01vR1g02660.1
GWHTABKE000267	Yangtao2018486	Aveca01vR1g02670.1
GWHTABKE000268	Yangtao2018485	Aveca01vR1g02680.1
GWHTABKE000269	Yangtao2018484	Aveca01vR1g02690.1
GWHTABKE000270	Yangtao2018483	Aveca01vR1g02700.1
GWHTABKE000271	Yangtao2018482	Aveca01vR1g02710.1
GWHTABKE000272	Yangtao2018481	Aveca01vR1g02720.1
GWHTABKE000273	Yangtao2018480	Aveca01vR1g02730.1
GWHTABKE000274	Yangtao2018479	Aveca01vR1g02740.1
GWHTABKE000275	Yangtao2018478	Aveca01vR1g02750.1
GWHTABKE000276	Yangtao2018477	Aveca01vR1g02760.1
GWHTABKE000277	Yangtao2018476	Aveca01vR1g02770.1
GWHTABKE000278	Yangtao2018475	Aveca01vR1g02780.1
GWHTABKE000279	Yangtao2018474	Aveca01vR1g02790.1
GWHTABKE000280	Yangtao2018473	Aveca01vR1g02800.1
GWHTABKE000281	Yangtao2018472	Aveca01vR1g02810.1
GWHTABKE000282	Yangtao2018471	Aveca01vR1g02820.1
GWHTABKE000283	Yangtao2018470	Aveca01vR1g02830.1
GWHTABKE000284	Yangtao2018469	Aveca01vR1g02840.1
GWHTABKE000285	Yangtao2018468	Aveca01vR1g02850.1
GWHTABKE000286	Yangtao2018467	Aveca01vR1g02860.1
GWHTABKE000287	Yangtao2018466	Aveca01vR1g02870.1
GWHTABKE000288	Yangtao2018465	Aveca01vR1g02880.1
GWHTABKE000289	Yangtao2018464	Aveca01vR1g02890.1
GWHTABKE000290	Yangtao2018463	Aveca01vR1g02900.1
GWHTABKE000291	Yangtao2018462	Aveca01vR1g02910.1
GWHTABKE000292	Yangtao2018461	Aveca01vR1g02920.1
GWHTABKE000293	Yangtao2018460	Aveca01vR1g02930.1
GWHTABKE000294	Yangtao2018459	Aveca01vR1g02940.1
GWHTABKE000295	Yangtao2018458	Aveca01vR1g02950.1
GWHTABKE000296	Yangtao2018457	Aveca01vR1g02960.1
GWHTABKE000297	Yangtao2018456	Aveca01vR1g02970.1
GWHTABKE000298	Yangtao2018455	Aveca01vR1g02980.1
GWHTABKE000299	Yangtao2018454	Aveca01vR1g02990.1
GWHTABKE000300	Yangtao2018453	Aveca01vR1g03000.1
GWHTABKE000301	Yangtao2018452	Aveca01vR1g03010.1
GWHTABKE000302	Yangtao2018451	Aveca01vR1g03020.1
GWHTABKE000303	Yangtao2018450	Aveca01vR1g03030.1
GWHTABKE000304	Yangtao2018449	Aveca01vR1g03040.1
GWHTABKE000305	Yangtao2018448	Aveca01vR1g03050.1
GWHTABKE000306	Yangtao2018447	Aveca01vR1g03060.1
GWHTABKE000307	Yangtao2018446	Aveca01vR1g03070.1
GWHTABKE000308	Yangtao2018445	Aveca01vR1g03080.1
GWHTABKE000309	Yangtao2018444	Aveca01vR1g03090.1
GWHTABKE000310	Yangtao2018443	Aveca01vR1g03100.1
GWHTABKE000311	Yangtao2018442	Aveca01vR1g03110.1
GWHTABKE000312	Yangtao2018441	Aveca01vR1g03120.1
GWHTABKE000313	Yangtao2018440	Aveca01vR1g03130.1
GWHTABKE000314	Yangtao2018439	Aveca01vR1g03140.1
GWHTABKE000315	Yangtao2018438	Aveca01vR1g03150.1
GWHTABKE000316	Yangtao2018437	Aveca01vR1g03160.1
GWHTABKE000317	Yangtao2018436	Aveca01vR1g03170.1
GWHTABKE000318	Yangtao2018435	Aveca01vR1g03180.1
GWHTABKE000319	Yangtao2018434	Aveca01vR1g03190.1
GWHTABKE000320	Yangtao2018433	Aveca01vR1g03200.1
GWHTABKE000321	Yangtao2018432	Aveca01vR1g03210.1
GWHTABKE000322	Yangtao2018431	Aveca01vR1g03220.1
GWHTABKE000323	Yangtao2018430	Aveca01vR1g03230.1
GWHTABKE000324	Yangtao2018429	Aveca01vR1g03240.1
GWHTABKE000325	Yangtao2018428	Aveca01vR1g03250.1
GWHTABKE000326	Yangtao2018427	Aveca01vR1g03260.1
GWHTABKE000327	Yangtao2018426	Aveca01vR1g03270.1
GWHTABKE000328	Yangtao2018425	Aveca01vR1g03280.1
GWHTABKE000329	Yangtao2018424	Aveca01vR1g03290.1
GWHTABKE000330	Yangtao2018423	Aveca01vR1g03300.1
GWHTABKE000331	Yangtao2018422	Aveca01vR1g03310.1
GWHTABKE000332	Yangtao2018421	Aveca01vR1g03320.1
GWHTABKE000333	Yangtao2018420	Aveca01vR1g03330.1
GWHTABKE000334	Yangtao2018419	Aveca01vR1g03340.1
GWHTABKE000335	Yangtao2018418	Aveca01vR1g03350.1
GWHTABKE000336	Yangtao2018417	Aveca01vR1g03360.1
GWHTABKE000337	Yangtao2018416	Aveca01vR1g03370.1
GWHTABKE000338	Yangtao2018415	Aveca01vR1g03380.1
GWHTABKE000339	Yangtao2018414	Aveca01vR1g03390.1
GWHTABKE000340	Yangtao2018413	Aveca01vR1g03400.1
GWHTABKE000341	Yangtao2018412	Aveca01vR1g03410.1
GWHTABKE000342	Yangtao2018411	Aveca01vR1g03420.1
GWHTABKE000343	Yangtao2018410	Aveca01vR1g03430.1
GWHTABKE000344	Yangtao2018409	Aveca01vR1g03440.1
GWHTABKE000345	Yangtao2018408	Aveca01vR1g03450.1
GWHTABKE000346	Yangtao2018407	Aveca01vR1g03460.1
GWHTABKE000347	Yangtao2018406	Aveca01vR1g03470.1
GWHTABKE000348	Yangtao2018405	Aveca01vR1g03480.1
GWHTABKE000349	Yangtao2018404	Aveca01vR1g03490.1
GWHTABKE000350	Yangtao2018403	Aveca01vR1g03500.1
GWHTABKE000351	Yangtao2018402	Aveca01vR1g03510.1
GWHTABKE000352	Yangtao2018401	Aveca01vR1g03520.1
GWHTABKE000353	Yangtao2018400	Aveca01vR1g03530.1
GWHTABKE000354	Yangtao2018399	Aveca01vR1g03540.1
GWHTABKE000355	Yangtao2018398	Aveca01vR1g03550.1
GWHTABKE000356	Yangtao2018397	Aveca01vR1g03560.1
GWHTABKE000357	Yangtao2018396	Aveca01vR1g03570.1
GWHTABKE000358	Yangtao2018395	Aveca01vR1g03580.1
